Train Accuracy,Test Accuracy
0.0838652178645134,0.07885067909955978
0.12510012090206146,0.1347479671239853
0.14175425469875336,0.15935267508029938
0.1550065577030182,0.1761961728334427
0.16806896030902863,0.18920034170150757
0.17942218482494354,0.20472277700901031
0.19302953779697418,0.229699045419693
0.20512588322162628,0.24196012318134308
0.22159011662006378,0.2667299807071686
0.2381369173526764,0.2952565848827362
0.2564259171485901,0.3209346532821655
0.27702686190605164,0.34884199500083923
0.29728925228118896,0.37901994585990906
0.31893882155418396,0.4095694124698639
0.3424379229545593,0.43640342354774475
0.36413702368736267,0.4679436981678009
0.38676917552948,0.48301202058792114
0.40999579429626465,0.5087726712226868
0.4304976463317871,0.5400652289390564
0.4509582221508026,0.5583949089050293
0.46965181827545166,0.5841968655586243
0.488617867231369,0.598026692867279
0.5064692497253418,0.6122693419456482
0.5228427052497864,0.6267597079277039
0.5400748252868652,0.6472773551940918
0.554871141910553,0.6646988391876221
0.5687509775161743,0.6739049553871155
0.5827051401138306,0.693266749382019
0.5956189036369324,0.7019361853599548
0.6092510223388672,0.7084589004516602
0.6189528703689575,0.7182430028915405
0.6278207302093506,0.7325682044029236
0.6392235159873962,0.7395450472831726
0.6469932794570923,0.7446641325950623
0.6566042900085449,0.7599388957023621
0.6628877520561218,0.7622920274734497
0.6725978851318359,0.7655534148216248
0.677428126335144,0.7678652405738831
0.6839263439178467,0.7761218547821045
0.6914566159248352,0.7841308116912842
0.6987721920013428,0.7862775325775146
0.7026447057723999,0.7928828001022339
0.707334578037262,0.793667197227478
0.7145593762397766,0.8020476698875427
0.7185887098312378,0.803409993648529
0.7226346135139465,0.8060108423233032
0.7261520624160767,0.8083639740943909
0.7313951849937439,0.8121619820594788
0.7347639799118042,0.8115427494049072
0.7375630736351013,0.8180654644966125
